ID,Audience,Surface,ElementType,CurrentText,Source,UiEditable,Flag,Notes
PUB-FOOTER-018,PUBLIC,Every public page (footer note),footer,Development preview. Not approved final content.,"`app/components/SiteFooter.tsx:87` (`site.provisionalFooterNote`, `app/data/site.ts:73`)",no,REVIEW,Gated by `SHOW_DEVELOPMENT_NOTICES`.
PUB-HOME-001,PUBLIC,`/` hero,accessibility label,Cities · People · Music · Moments,"`app/components/home-sections.tsx:31` (`hero.headline`, `app/data/home.ts:39`)",no,KEEP,Screen-reader-only `h1`; the visible hero words are `aria-hidden` duplicates.
PUB-HOME-002,PUBLIC,`/` hero,warning,"Development preview — photography, copy and galleries are placeholders.","`app/components/home-sections.tsx:45` (`hero.note`, `app/data/home.ts:59`)",no,REVIEW,Gated by `SHOW_DEVELOPMENT_NOTICES`.
PUB-HOME-003,PUBLIC,`/` hero,body,"Street photography, live music and the energy of the night.",`app/data/home.ts:40` (`hero.supporting`),no,KEEP,The page's main supporting sentence.
PUB-HOME-004,PUBLIC,`/` hero,button,Explore galleries,`app/data/home.ts:41` (`hero.action.label`),no,KEEP,Links to `/galleries`.
PUB-HOME-005,PUBLIC,`/` hero image,accessibility label,(empty string),`app/data/home.ts:55` (`hero.photo.alt`),no,OPERATOR_CONTENT_REQUIRED,Deliberately empty: the current hero is an abstract development graphic with nothing nameable to describe. Needs an approved hero photograph and real alt text.
PUB-HOME-006,PUBLIC,`/` featured section,heading,Featured work,`app/components/home-sections.tsx:74`,no,KEEP,Eyebrow above the section heading.
PUB-HOME-007,PUBLIC,`/` featured section,heading,Selected photographs,`app/components/home-sections.tsx:75`,no,KEEP,Section `h2`.
PUB-HOME-008,PUBLIC,`/` featured section,body,"A working edit, arranged editorially rather than as a uniform grid.",`app/components/home-sections.tsx:76`-`78`,no,REVIEW,Names an editorial working method; operator may want different framing.
PUB-HOME-009,PUBLIC,"`/` featured, latest and related-photograph grids",accessibility label,{photo.title} — photograph page,`app/components/home-sections.tsx:93` and `:202`,no,KEEP,Link `title` attribute built from the photograph's own title.
PUB-HOME-010,PUBLIC,`/` featured and latest grids,accessibility label,{photo.galleryLabel} gallery,`app/components/home-sections.tsx:98` and `:207`,no,KEEP,Link `title` attribute built from the gallery name.
PUB-HOME-011,PUBLIC,`/` galleries section,heading,Explore galleries,`app/components/home-sections.tsx:122`,no,KEEP,Eyebrow; the same words are the hero button (`PUB-HOME-004`) from a different constant.
PUB-HOME-012,PUBLIC,`/` galleries section,heading,Find your way in,`app/components/home-sections.tsx:123`,no,KEEP,Section `h2`.
PUB-HOME-013,PUBLIC,`/` galleries section,body,"Street, stage and the hours in between — every collection is drawn from the published portfolio.",`app/components/home-sections.tsx:124`-`127`,no,KEEP,Describes the collections generally.
PUB-HOME-014,PUBLIC,`/` galleries section,warning,"Provisional collections, counts and imagery. Galleries are administrator-managed once the storage slices land, and no name or count here is approved final content.",`app/components/home-sections.tsx:132`-`133`,no,REWRITE_RECOMMENDED,"Gated by `SHOW_DEVELOPMENT_NOTICES`. Names internal build history (""storage slices"") and seed content; a launch rewrite is recommended if the switch stays on."
PUB-HOME-015,PUBLIC,`/` galleries section,accessibility label,{gallery.name} gallery,`app/components/home-sections.tsx:140`,no,KEEP,Link `title` attribute on each collection card.
PUB-HOME-016,PUBLIC,`/` galleries section,metadata,"1 photograph, or {count} photographs",`app/components/home-sections.tsx:159`,no,KEEP,Singular/plural count under each collection card.
PUB-HOME-017,PUBLIC,`/` latest section,heading,Latest,`app/components/home-sections.tsx:180`,no,KEEP,Eyebrow.
PUB-HOME-018,PUBLIC,`/` latest section,heading,Recently added,`app/components/home-sections.tsx:181`,no,KEEP,Section `h2`.
PUB-HOME-019,PUBLIC,`/` latest section,navigation,Browse all galleries,`app/components/home-sections.tsx:185`,no,KEEP,Text link to `/galleries`.
PUB-HOME-020,PUBLIC,`/` about preview,heading,About,`app/components/home-sections.tsx:221`,no,KEEP,Eyebrow.
PUB-HOME-021,PUBLIC,`/` about preview,heading,About Anya,`app/data/home.ts:64` (`aboutPreview.title`),no,KEEP,Section `h2`.
PUB-HOME-022,PUBLIC,`/` about preview,body,"I'm Anya — a photographer drawn to the energy of cities, live music, cars and the moments that happen after dark. Anyaparallax is where that work gathers.",`app/data/home.ts:65` (`aboutPreview.body`),no,OPERATOR_CONTENT_REQUIRED,Provisional biography wording; the About page says the final biography is still to be supplied.
PUB-HOME-023,PUBLIC,`/` about preview,navigation,More about Anya,`app/data/home.ts:67` (`aboutPreview.linkLabel`),no,KEEP,Text link to `/about`.
PUB-HOME-024,PUBLIC,`/` about preview portrait,accessibility label,(empty string),`app/data/home.ts:75` (`aboutPreview.photo.alt`),no,OPERATOR_CONTENT_REQUIRED,Deliberately empty: the frame holds a development stand-in graphic. Needs an approved portrait plus real alt text.
PUB-UI-001,PUBLIC,Any public grid or card with no usable image path,empty state,Image unavailable,`app/components/PhotoFigure.tsx:89`,no,KEEP,Fail-closed stand-in when a stored reference cannot be converted to a public path.
PUB-UI-002,PUBLIC,`/about` reserved portrait space (component default),accessibility label,Placeholder image: {label},`app/components/PlaceholderFrame.tsx:31`,no,KEEP,`{label}` is the caller's text; the only current caller passes `Portrait placeholder` (`PUB-ABOUT-007`).
PUB-UI-003,PUBLIC,Public 404 body,heading,404,`app/components/NotFoundContent.tsx:21`,no,KEEP,Eyebrow.
PUB-UI-004,PUBLIC,Public 404 body,heading,Page not found,`app/components/NotFoundContent.tsx:22`,no,KEEP,Page `h1`.
PUB-UI-005,PUBLIC,Public 404 body,body,That address does not exist. Try one of these instead:,`app/components/NotFoundContent.tsx:26`,no,KEEP,"Default, stage-neutral wording."
PUB-UI-006,PUBLIC,Public 404 body,body,That address does not exist in this development preview. Try one of these instead:,`app/components/NotFoundContent.tsx:25`,no,REVIEW,Gated by `SHOW_DEVELOPMENT_NOTICES`; development wording.
PUB-UI-007,PUBLIC,Public 404 body,button,Back to home,`app/components/NotFoundContent.tsx:37`,no,KEEP,Links to `/`.
PUB-GALLERIES-001,PUBLIC,`/galleries` header,heading,Galleries,`app/routes/galleries.tsx:56`,no,KEEP,Eyebrow.
PUB-GALLERIES-002,PUBLIC,`/galleries` header,heading,Galleries,`app/routes/galleries.tsx:57`,no,KEEP,Page `h1`.
PUB-GALLERIES-003,PUBLIC,`/galleries` header,body,"Collections of street, stage and night work. Photography fills the page; the interface stays out of the way.",`app/routes/galleries.tsx:58`-`61`,no,KEEP,Page lede.
PUB-GALLERIES-004,PUBLIC,`/galleries`,warning,"Development preview — gallery names and metadata are provisional seed data, not approved final content.",`app/routes/galleries.tsx:65`-`68`,no,REWRITE_RECOMMENDED,"Gated by `SHOW_DEVELOPMENT_NOTICES`. Names seed data, an implementation detail."
PUB-GALLERIES-005,PUBLIC,`/galleries` collection card,accessibility label,{gallery.name} gallery,`app/routes/galleries.tsx:81`,no,KEEP,Link `title` attribute.
PUB-GALLERIES-006,PUBLIC,`/galleries` collection card,metadata,"1 photograph, or {count} photographs",`app/routes/galleries.tsx:108`,no,KEEP,Count under each collection card.
PUB-GALLERIES-007,PUBLIC,`/galleries` footer action,button,Print information,`app/routes/galleries.tsx:120`,no,KEEP,Links to `/prints`.
PUB-GALLERY-001,PUBLIC,`/gallery/:slug` breadcrumb,navigation,Galleries,`app/routes/gallery.tsx:43`,no,KEEP,Links back to `/galleries`.
PUB-GALLERY-002,PUBLIC,`/gallery/:slug` header,heading,{gallery.name},`app/routes/gallery.tsx:45` (`galleries.name`),via settings,OPERATOR_CONTENT_REQUIRED,Operator content: the gallery name is created and edited on `/admin/galleries`.
PUB-GALLERY-003,PUBLIC,`/gallery/:slug` header,body,{gallery.description},`app/routes/gallery.tsx:46` (`galleries.description`),via settings,OPERATOR_CONTENT_REQUIRED,Operator content: the gallery description is edited on `/admin/galleries`.
PUB-GALLERY-004,PUBLIC,`/gallery/:slug` header,metadata,"1 photograph, or {count} photographs",`app/routes/gallery.tsx:48`,no,KEEP,Count of published photographs in this gallery.
PUB-GALLERY-005,PUBLIC,`/gallery/:slug`,warning,Development preview — photographs are placeholder assets and metadata is provisional seed data.,`app/routes/gallery.tsx:53`-`56`,no,REWRITE_RECOMMENDED,Gated by `SHOW_DEVELOPMENT_NOTICES`. Names seed data and placeholder assets.
PUB-GALLERY-006,PUBLIC,`/gallery/:slug`,empty state,No photographs are published in this gallery yet.,`app/routes/gallery.tsx:60`,no,KEEP,Shown when the gallery holds no published photographs.
PUB-GALLERY-007,PUBLIC,`/gallery/:slug` footer action,button,All galleries,`app/routes/gallery.tsx:91`,no,KEEP,Links back to `/galleries`.
PUB-GALLERY-008,PUBLIC,`/gallery/:slug` grid,accessibility label,{photo.title} — photograph page,`app/routes/gallery.tsx:82`,no,KEEP,Link `title` attribute on each photograph.
PUB-PHOTO-001,PUBLIC,`/photo/:slug` breadcrumb,navigation,Galleries,`app/routes/photo.tsx:113`,no,KEEP,First breadcrumb step.
PUB-PHOTO-002,PUBLIC,`/photo/:slug` breadcrumb,body,/,`app/routes/photo.tsx:114`,no,KEEP,"Decorative separator, `aria-hidden`; not announced."
PUB-PHOTO-003,PUBLIC,`/photo/:slug` image frame,empty state,This photograph’s display image is unavailable.,`app/routes/photo.tsx:144`,no,KEEP,Shown when no public derivative path exists.
PUB-PHOTO-004,PUBLIC,`/photo/:slug` metadata list,field label,Gallery,`app/routes/photo.tsx:164`,no,KEEP,Term in the description list.
PUB-PHOTO-005,PUBLIC,`/photo/:slug` metadata list,field label,Location,`app/routes/photo.tsx:171`,no,KEEP,Rendered only when the photograph has a location.
PUB-PHOTO-006,PUBLIC,`/photo/:slug` metadata list,field label,Captured,`app/routes/photo.tsx:177`,no,KEEP,Rendered only when a capture date exists; the value is formatted en-GB.
PUB-PHOTO-007,PUBLIC,`/photo/:slug` metadata list,field label,Tags,`app/routes/photo.tsx:183`,no,KEEP,Rendered only when the photograph carries tags.
PUB-PHOTO-008,PUBLIC,`/photo/:slug` print action,button,Enquire about a print,`app/routes/photo.tsx:207`,no,KEEP,Rendered only when the photograph is marked available for print enquiries.
PUB-PHOTO-009,PUBLIC,`/photo/:slug` print action,helper text,"Print enquiries are answered personally. There is no basket, checkout or payment on this site.",`app/routes/photo.tsx:210`-`211`,no,KEEP,Honest capability statement beside the print button.
PUB-PHOTO-010,PUBLIC,`/photo/:slug` previous/next,accessibility label,Photograph navigation,`app/routes/photo.tsx:234`,no,KEEP,Accessible name of the previous/next landmark.
PUB-PHOTO-011,PUBLIC,`/photo/:slug` previous link,navigation,Previous,`app/routes/photo.tsx:237`,no,KEEP,Followed by the previous photograph's title.
PUB-PHOTO-012,PUBLIC,`/photo/:slug` next link,navigation,Next,`app/routes/photo.tsx:245`,no,KEEP,Followed by the next photograph's title.
PUB-PHOTO-013,PUBLIC,`/photo/:slug` related section,heading,More from this collection,`app/routes/photo.tsx:257`,no,KEEP,Eyebrow above the gallery name.
PUB-PHOTO-014,PUBLIC,`/photo/:slug` related section,heading,{gallery.name},`app/routes/photo.tsx:258`,via settings,OPERATOR_CONTENT_REQUIRED,"Operator content: gallery name, edited on `/admin/galleries`."
PUB-PHOTO-015,PUBLIC,`/photo/:slug` related section,navigation,View the gallery,`app/routes/photo.tsx:262`,no,KEEP,Text link to the gallery.
PUB-PHOTO-016,PUBLIC,`/photo/:slug` related grid,accessibility label,{item.title} — photograph page,`app/routes/photo.tsx:283`,no,KEEP,Link `title` attribute on each related photograph.
PUB-ENGAGE-001,PUBLIC,`/photo/:slug` like and share block,accessibility label,Photograph engagement,`app/components/EngagementControls.tsx:171`,no,KEEP,Accessible name of the control group.
PUB-ENGAGE-002,PUBLIC,`/photo/:slug` like button,button,Like,`app/components/EngagementControls.tsx:181`,no,KEEP,Shown when this browser has not liked the photograph.
PUB-ENGAGE-003,PUBLIC,`/photo/:slug` like button,button,Unlike,`app/components/EngagementControls.tsx:181`,no,KEEP,Shown when this browser has liked the photograph.
PUB-ENGAGE-004,PUBLIC,`/photo/:slug` like button,button,Working…,`app/components/EngagementControls.tsx:181`,no,KEEP,Shown while the like request is in flight; no optimistic count is displayed.
PUB-ENGAGE-005,PUBLIC,`/photo/:slug` like count,metadata,"like, or likes",`app/components/EngagementControls.tsx:189`,no,KEEP,Singular/plural label beside the stored count; announced politely via `aria-live`.
PUB-ENGAGE-006,PUBLIC,`/photo/:slug` like count,metadata,Likes unavailable,`app/components/EngagementControls.tsx:193`,no,KEEP,Shown when engagement storage could not be read; no fabricated count.
PUB-ENGAGE-007,PUBLIC,`/photo/:slug` share button,button,Share,`app/engagement/engagement.ts:38` (`SHARE_CHANNEL_LABELS.native`),no,KEEP,Opens the Web Share sheet where the browser provides one.
PUB-ENGAGE-008,PUBLIC,`/photo/:slug` share disclosure,button,More sharing options,`app/components/EngagementControls.tsx:212`,no,KEEP,Shown while the fallback list is collapsed.
PUB-ENGAGE-009,PUBLIC,`/photo/:slug` share disclosure,button,Hide sharing options,`app/components/EngagementControls.tsx:212`,no,KEEP,Shown while the fallback list is expanded.
PUB-ENGAGE-010,PUBLIC,`/photo/:slug` share fallbacks,field label,Link,`app/components/EngagementControls.tsx:235`,no,KEEP,Label for the read-only canonical URL input.
PUB-ENGAGE-011,PUBLIC,`/photo/:slug` share fallbacks,helper text,"These open the service in a new tab. Nothing here confirms that a share was completed, and no count of shares is shown.",`app/components/EngagementControls.tsx:254`-`255`,no,REVIEW,States the limit of what the application can know; the operator should keep this truthful if share channels change.
PUB-ENGAGE-012,PUBLIC,`/photo/:slug` share fallbacks,button,Copy link,`app/engagement/engagement.ts:39` (`SHARE_CHANNEL_LABELS.copy_link`),no,KEEP,The one share action with a confirmable outcome.
PUB-ENGAGE-013,PUBLIC,`/photo/:slug` share fallbacks,button,WhatsApp,`app/engagement/engagement.ts:40` (`SHARE_CHANNEL_LABELS.whatsapp`),no,KEEP,Opens an outbound link in a new tab.
PUB-ENGAGE-014,PUBLIC,`/photo/:slug` share fallbacks,button,Facebook,`app/engagement/engagement.ts:41` (`SHARE_CHANNEL_LABELS.facebook`),no,KEEP,Opens an outbound link in a new tab.
PUB-ENGAGE-015,PUBLIC,`/photo/:slug` share fallbacks,button,X,`app/engagement/engagement.ts:42` (`SHARE_CHANNEL_LABELS.x`),no,KEEP,Opens an outbound link in a new tab.
PUB-ENGAGE-016,PUBLIC,`/photo/:slug` share fallbacks,button,Pinterest,`app/engagement/engagement.ts:43` (`SHARE_CHANNEL_LABELS.pinterest`),no,KEEP,Opens an outbound link in a new tab; omits the image when none is public.
PUB-ENGAGE-017,PUBLIC,`/photo/:slug` share fallbacks,button,Email,`app/engagement/engagement.ts:44` (`SHARE_CHANNEL_LABELS.email`),no,KEEP,Opens the visitor's own mail client.
PUB-ENGAGE-018,PUBLIC,`/photo/:slug` share status,confirmation,Share panel opened.,`app/engagement/engagement.ts:84` (`SHARE_STATUS_COPY.nativeOpened`),no,KEEP,Deliberately claims only that the sheet opened.
PUB-ENGAGE-019,PUBLIC,`/photo/:slug` share status,warning,This browser cannot open a share panel. Use one of the options below.,`app/engagement/engagement.ts:86` (`SHARE_STATUS_COPY.nativeUnavailable`),no,KEEP,Fallback message.
PUB-ENGAGE-020,PUBLIC,`/photo/:slug` share status,confirmation,Opened in a new tab. Complete the share there.,`app/engagement/engagement.ts:88` (`SHARE_STATUS_COPY.outboundOpened`),no,KEEP,Claims initiation only.
PUB-ENGAGE-021,PUBLIC,`/photo/:slug` share status,confirmation,Link copied.,`app/engagement/engagement.ts:90` (`SHARE_STATUS_COPY.linkCopied`),no,KEEP,Shown only after a completed clipboard write.
PUB-ENGAGE-022,PUBLIC,`/photo/:slug` share status,warning,Could not copy automatically. Select the link and copy it manually.,`app/engagement/engagement.ts:92` (`SHARE_STATUS_COPY.copyFailed`),no,KEEP,Shown on clipboard failure.
PUB-ENGAGE-023,PUBLIC,`/photo/:slug` engagement note,warning,Likes are unavailable right now. Nothing is recorded and no count is shown.,`app/engagement/engagement.server.ts:55`,no,KEEP,Availability reason rendered beside the controls when engagement storage is unreachable.
PUB-PRINTS-001,PUBLIC,`/prints` header,heading,Prints,`app/routes/prints.tsx:74`,no,KEEP,Eyebrow.
PUB-PRINTS-002,PUBLIC,`/prints` header,heading,Fine art prints,`app/routes/prints.tsx:75`,no,KEEP,Page `h1`.
PUB-PRINTS-003,PUBLIC,`/prints` header,body,"Bring the city to your walls. Selected photographs are offered as prints, and every enquiry is handled personally by Anya.",`app/routes/prints.tsx:76`-`79`,no,KEEP,Page lede.
PUB-PRINTS-004,PUBLIC,`/prints` notice; also the enquiry form notice on `/contact` and `/prints/enquire`,warning,"Print enquiries are handled personally by email. This site has no basket, no checkout and no payment: no price is charged here, and no availability is guaranteed until Anya replies.","`app/routes/prints.tsx:87` (`ENQUIRY_COPY.noCheckoutNotice`, `app/enquiries/enquiry.ts:197`)",no,KEEP,One constant renders on three surfaces; a rewrite changes all three.
PUB-PRINTS-005,PUBLIC,`/prints` how-it-works,heading,How it works,`app/routes/prints.tsx:90`,no,KEEP,Section `h2`.
PUB-PRINTS-006,PUBLIC,`/prints` how-it-works,body,Find a photograph marked as available for prints.,`app/routes/prints.tsx:92`,no,KEEP,Ordered-step 1.
PUB-PRINTS-007,PUBLIC,`/prints` how-it-works,body,"Send an enquiry, saying which format and size you have in mind.",`app/routes/prints.tsx:93`,no,KEEP,Ordered-step 2.
PUB-PRINTS-008,PUBLIC,`/prints` how-it-works,body,"Anya replies to confirm availability, dimensions, format and price.",`app/routes/prints.tsx:94`,no,KEEP,Ordered-step 3.
PUB-PRINTS-009,PUBLIC,`/prints` how-it-works,body,"Because each print is prepared to order, nothing on this site is a live product: there is no basket to fill, no price to pay here and no delivery date promised by a machine.",`app/routes/prints.tsx:97`-`98`,no,KEEP,Capability statement; keep truthful if print fulfilment ever changes.
PUB-PRINTS-010,PUBLIC,`/prints` offered grid,heading,Available to enquire about,`app/routes/prints.tsx:105`,no,KEEP,Eyebrow.
PUB-PRINTS-011,PUBLIC,`/prints` offered grid,heading,Photographs offered as prints,`app/routes/prints.tsx:106`,no,KEEP,Section `h2`.
PUB-PRINTS-012,PUBLIC,`/prints` offered grid,navigation,Enquire about a print,`app/routes/prints.tsx:126`,no,KEEP,Caption link on each offered photograph.
PUB-PRINTS-013,PUBLIC,`/prints` empty state,empty state,"No photographs are currently marked as available for prints. You can still register interest, and Anya will let you know when prints open.",`app/routes/prints.tsx:140`-`141`,no,KEEP,Shown when no photograph is print-eligible.
PUB-PRINTS-014,PUBLIC,`/prints` footer actions,button,Register print interest,`app/routes/prints.tsx:147`,no,KEEP,Links to `/prints/enquire`.
PUB-PRINTS-015,PUBLIC,`/prints` footer actions,button,Browse the galleries,`app/routes/prints.tsx:150`,no,KEEP,Links to `/galleries`.
PUB-PRINTS-016,PUBLIC,`/prints` offered grid,accessibility label,{photo.title} — photograph page,`app/routes/prints.tsx:132`,no,KEEP,Link `title` attribute.
PUB-PRINTSENQ-001,PUBLIC,`/prints/enquire` breadcrumb,navigation,Prints,`app/routes/prints.enquire.tsx:214`,no,KEEP,Links back to `/prints`.
PUB-PRINTSENQ-002,PUBLIC,`/prints/enquire` header,heading,Print enquiry,`app/routes/prints.enquire.tsx:217` (`FORM_TITLE`),no,KEEP,Shown when no photograph is named.
PUB-PRINTSENQ-003,PUBLIC,`/prints/enquire?photo=…` header,heading,Enquire about “{photo.title}”,`app/routes/prints.enquire.tsx:217`,no,KEEP,Names the photograph the server accepted for this enquiry.
PUB-PRINTSENQ-004,PUBLIC,`/prints/enquire?photo=…` header,body,Send an enquiry about a print of this photograph.,`app/routes/prints.enquire.tsx:220`,no,KEEP,Photograph-specific lede.
PUB-PRINTSENQ-005,PUBLIC,`/prints/enquire` header,body,"Register interest in prints, or ask about a particular photograph.",`app/routes/prints.enquire.tsx:221`,no,KEEP,General lede.
PUB-PRINTSENQ-006,PUBLIC,`/prints/enquire` header,body,"Anya replies personally to confirm availability, format, size and price.",`app/routes/prints.enquire.tsx:222`,no,KEEP,"Second sentence of the lede, appended to `PUB-PRINTSENQ-004` or `-005`."
PUB-PRINTSENQ-007,PUBLIC,`/prints/enquire` sidebar,heading,What happens next,`app/routes/prints.enquire.tsx:260`,no,KEEP,Sidebar `h2`.
PUB-PRINTSENQ-008,PUBLIC,`/prints/enquire` sidebar,body,Anya reads the enquiry and replies to the email address you give.,`app/routes/prints.enquire.tsx:262`,no,KEEP,List item.
PUB-PRINTSENQ-009,PUBLIC,`/prints/enquire` sidebar,body,"Availability, format, size and price are confirmed in that reply.",`app/routes/prints.enquire.tsx:263`,no,KEEP,List item.
PUB-PRINTSENQ-010,PUBLIC,`/prints/enquire` sidebar,body,"Nothing is charged here, and no print is promised until she confirms it.",`app/routes/prints.enquire.tsx:264`,no,KEEP,List item; honest capability statement.
PUB-PRINTSENQ-011,PUBLIC,`/prints/enquire` sidebar,helper text,"Only the details on this form are stored: your name, email address, what the enquiry is about and your message. No address, browser details or tracking identifiers are recorded.",`app/routes/prints.enquire.tsx:267`-`269`,no,LEGAL/PRIVACY_REVIEW,Data statement; keep aligned with the privacy notice.
PUB-PRINTSENQ-012,PUBLIC,`/prints/enquire?photo=…` sidebar,navigation,Back to the photograph,`app/routes/prints.enquire.tsx:274`,no,KEEP,Rendered only when a photograph is named.
PUB-PRINTSENQ-013,PUBLIC,`/prints/enquire` submitting state,metadata,Sending…,`app/routes/prints.enquire.tsx:253`,no,KEEP,Live-region status while the form is in flight.
PUB-CONTACT-001,PUBLIC,`/contact` header,heading,Contact,`app/routes/contact.tsx:188`,no,KEEP,Eyebrow.
PUB-CONTACT-002,PUBLIC,`/contact` header,heading,Contact,`app/routes/contact.tsx:189`,no,KEEP,Page `h1`.
PUB-CONTACT-003,PUBLIC,`/contact` header,body,"Band, gig, event, car and print enquiries all reach Anya through this form, and she answers them personally.",`app/routes/contact.tsx:190`-`193`,no,KEEP,Page lede.
PUB-CONTACT-004,PUBLIC,`/contact`,body,"No public email address is published here, and nothing you send is forwarded anywhere automatically: your message is stored in Anya’s enquiry list, and she replies from her own email.",`app/routes/contact.tsx:198`-`200`,no,LEGAL/PRIVACY_REVIEW,Explains why there is no address; the operator may later want to publish one.
